gene	subtype	total_sample	del_sample	amp_sample	diploid	del_percent	amp_percent
YTHDF2	Basal	135	45	32	58	33.3333333333333	23.7037037037037
YTHDF2	Her2	67	34	5	28	50.7462686567164	7.46268656716418
YTHDF2	LumA	415	135	6	274	32.5301204819277	1.44578313253012
YTHDF2	LumB	192	123	8	61	64.0625	4.16666666666667
YTHDF2	Normal	22	0	2	20	0	9.09090909090909
RBM15	Basal	135	35	51	49	25.9259259259259	37.7777777777778
RBM15	Her2	67	30	10	27	44.7761194029851	14.9253731343284
RBM15	LumA	415	111	30	274	26.7469879518072	7.2289156626506
RBM15	LumB	192	92	34	66	47.9166666666667	17.7083333333333
RBM15	Normal	22	0	5	17	0	22.7272727272727
METTL5	Basal	135	32	39	64	23.7037037037037	28.8888888888889
METTL5	Her2	67	16	13	38	23.8805970149254	19.4029850746269
METTL5	LumA	415	78	10	327	18.7951807228916	2.40963855421687
METTL5	LumB	192	64	19	109	33.3333333333333	9.89583333333333
METTL5	Normal	22	0	1	21	0	4.54545454545455
RBM15B	Basal	135	82	9	44	60.7407407407407	6.66666666666667
RBM15B	Her2	67	34	4	29	50.7462686567164	5.97014925373134
RBM15B	LumA	415	81	36	298	19.5180722891566	8.67469879518072
RBM15B	LumB	192	73	26	93	38.0208333333333	13.5416666666667
RBM15B	Normal	22	4	0	18	18.1818181818182	0
IGF2BP2	Basal	135	11	78	46	8.14814814814815	57.7777777777778
IGF2BP2	Her2	67	9	26	32	13.4328358208955	38.8059701492537
IGF2BP2	LumA	415	19	77	319	4.57831325301205	18.5542168674699
IGF2BP2	LumB	192	12	73	107	6.25	38.0208333333333
IGF2BP2	Normal	22	1	3	18	4.54545454545455	13.6363636363636
ZCCHC4	Basal	135	91	9	35	67.4074074074074	6.66666666666667
ZCCHC4	Her2	67	39	4	24	58.2089552238806	5.97014925373134
ZCCHC4	LumA	415	80	29	306	19.2771084337349	6.98795180722892
ZCCHC4	LumB	192	70	28	94	36.4583333333333	14.5833333333333
ZCCHC4	Normal	22	4	0	18	18.1818181818182	0
YTHDC1	Basal	135	57	27	51	42.2222222222222	20
YTHDC1	Her2	67	27	12	28	40.2985074626866	17.910447761194
YTHDC1	LumA	415	65	40	310	15.6626506024096	9.63855421686747
YTHDC1	LumB	192	56	42	94	29.1666666666667	21.875
YTHDC1	Normal	22	1	2	19	4.54545454545455	9.09090909090909
METTL14	Basal	135	72	18	45	53.3333333333333	13.3333333333333
METTL14	Her2	67	32	8	27	47.7611940298507	11.9402985074627
METTL14	LumA	415	77	30	308	18.5542168674699	7.2289156626506
METTL14	LumB	192	70	31	91	36.4583333333333	16.1458333333333
METTL14	Normal	22	1	1	20	4.54545454545455	4.54545454545455
YTHDC2	Basal	135	102	4	29	75.5555555555556	2.96296296296296
YTHDC2	Her2	67	27	8	32	40.2985074626866	11.9402985074627
YTHDC2	LumA	415	30	93	292	7.2289156626506	22.4096385542169
YTHDC2	LumB	192	46	50	96	23.9583333333333	26.0416666666667
YTHDC2	Normal	22	4	0	18	18.1818181818182	0
BAT2	Basal	135	14	71	50	10.3703703703704	52.5925925925926
BAT2	Her2	67	8	19	40	11.9402985074627	28.3582089552239
BAT2	LumA	415	55	54	306	13.2530120481928	13.0120481927711
BAT2	LumB	192	42	58	92	21.875	30.2083333333333
BAT2	Normal	22	1	3	18	4.54545454545455	13.6363636363636
WTAP	Basal	135	44	33	58	32.5925925925926	24.4444444444444
WTAP	Her2	67	27	12	28	40.2985074626866	17.910447761194
WTAP	LumA	415	129	28	258	31.0843373493976	6.74698795180723
WTAP	LumB	192	81	32	79	42.1875	16.6666666666667
WTAP	Normal	22	4	1	17	18.1818181818182	4.54545454545455
IGF2BP3	Basal	135	36	48	51	26.6666666666667	35.5555555555556
IGF2BP3	Her2	67	5	26	36	7.46268656716418	38.8059701492537
IGF2BP3	LumA	415	17	119	279	4.09638554216868	28.6746987951807
