gene	subtype	total_sample	del_sample	amp_sample	diploid	del_percent	amp_percent
YTHDF2	Normal	22	0	2	20	0	9.09090909090909
YTHDF2	Tumor	809	337	51	421	41.6563658838072	6.30407911001236
RBM15	Normal	22	0	5	17	0	22.7272727272727
RBM15	Tumor	809	268	125	416	33.1273176761434	15.451174289246
METTL5	Normal	22	0	1	21	0	4.54545454545455
METTL5	Tumor	809	190	81	538	23.4857849196539	10.0123609394314
RBM15B	Normal	22	4	0	18	18.1818181818182	0
RBM15B	Tumor	809	270	75	464	33.3745364647713	9.27070457354759
IGF2BP2	Normal	22	1	3	18	4.54545454545455	13.6363636363636
IGF2BP2	Tumor	809	51	254	504	6.30407911001236	31.3967861557478
ZCCHC4	Normal	22	4	0	18	18.1818181818182	0
ZCCHC4	Tumor	809	280	70	459	34.610630407911	8.65265760197775
YTHDC1	Normal	22	1	2	19	4.54545454545455	9.09090909090909
YTHDC1	Tumor	809	205	121	483	25.3399258343634	14.9567367119901
METTL14	Normal	22	1	1	20	4.54545454545455	4.54545454545455
METTL14	Tumor	809	251	87	471	31.0259579728059	10.7540173053152
YTHDC2	Normal	22	4	0	18	18.1818181818182	0
YTHDC2	Tumor	809	205	155	449	25.3399258343634	19.159456118665
BAT2	Normal	22	1	3	18	4.54545454545455	13.6363636363636
BAT2	Tumor	809	119	202	488	14.7095179233622	24.9690976514215
WTAP	Normal	22	4	1	17	18.1818181818182	4.54545454545455
WTAP	Tumor	809	281	105	423	34.734239802225	12.9789864029666
IGF2BP3	Normal	22	1	4	17	4.54545454545455	18.1818181818182
IGF2BP3	Tumor	809	89	262	458	11.0012360939431	32.3856613102596
HNRNPA2B1	Normal	22	0	3	19	0	13.6363636363636
HNRNPA2B1	Tumor	809	92	254	463	11.372064276885	31.3967861557478
CBLL1	Normal	22	1	0	21	4.54545454545455	0
CBLL1	Tumor	809	131	199	479	16.1928306551298	24.5982694684796
YTHDF3	Normal	22	0	8	14	0	36.3636363636364
YTHDF3	Tumor	809	46	446	317	5.68603213844252	55.1297898640297
KIAA1429	Normal	22	0	9	13	0	40.9090909090909
KIAA1429	Tumor	809	21	515	273	2.59579728059333	63.6588380716934
EIF3A	Normal	22	5	0	17	22.7272727272727	0
EIF3A	Tumor	809	253	84	472	31.2731767614339	10.3831891223733
ZC3H13	Normal	22	6	2	14	27.2727272727273	9.09090909090909
ZC3H13	Tumor	809	386	68	355	47.7132262051916	8.40543881334981
HNRNPC	Normal	22	2	3	17	9.09090909090909	13.6363636363636
HNRNPC	Tumor	809	181	157	471	22.3733003708282	19.406674907293
METTL3	Normal	22	2	2	18	9.09090909090909	9.09090909090909
METTL3	Tumor	809	182	154	473	22.4969097651421	19.035846724351
FTO	Normal	22	5	4	13	22.7272727272727	18.1818181818182
FTO	Tumor	809	456	127	226	56.3658838071693	15.6983930778739
METT10D	Normal	22	6	0	16	27.2727272727273	0
METT10D	Tumor	809	486	54	269	60.0741656365884	6.67490729295426
ALKBH5	Normal	22	6	0	16	27.2727272727273	0
ALKBH5	Tumor	809	445	72	292	55.0061804697157	8.89987639060569
IGF2BP1	Normal	22	5	1	16	22.7272727272727	4.54545454545455
IGF2BP1	Tumor	809	173	277	359	21.3844252163164	34.2398022249691
ZNF217	Normal	22	0	5	17	0	22.7272727272727
ZNF217	Tumor	809	19	438	352	2.34857849196539	54.1409147095179
YTHDF1	Normal	22	0	5	17	0	22.7272727272727
YTHDF1	Tumor	809	38	412	359	4.69715698393078	50.9270704573548
RBMX	Normal	22	1	1	20	4.54545454545455	4.54545454545455
RBMX	Tumor	809	141	141	527	17.4289245982695	17.4289245982695
FMR1	Normal	22	2	2	18	9.09090909090909	9.09090909090909
FMR1	Tumor	809	145	144	520	17.9233621755253	17.7997527812114
