TvsN_PValue	TvsN_diff
METTL3	0.0686496455332119	0.993237830325101
METTL14	1.99372406595639e-11	0.968638978249952
WTAP	5.68499579812833e-13	0.976302659038415
KIAA1429	1.77395184392542e-11	1.03719860363598
CBLL1	0.00353315767148608	1.01078534359552
ZC3H13	2.3888322857237e-14	0.967848499736135
RBM15	0.0339460237879748	1.01512144640921
RBM15B	0.52767073474338	0.996308971132659
METT10D	2.06202648535544e-19	0.960858663528852
METTL5	0.106287983312408	1.0084640340839
ZCCHC4	1.33580633795851e-09	0.965405926210915
FTO	4.21710811851256e-40	0.911186707317907
ALKBH5	0.345362367495558	0.999752887857049
YTHDC1	2.17560944513875e-06	0.987319135218392
YTHDC2	0.169824421360338	1.00466674247949
YTHDF1	2.87438304884911e-30	1.04265187243157
YTHDF2	0.0225852870684492	1.0067773742801
YTHDF3	0.0366956647445872	1.00981898829662
HNRNPA2B1	5.43813979130415e-42	1.03781528152988
HNRNPC	7.42405623759089e-34	1.03274742980416
RBMX	0.221650707334273	0.997482948619133
EIF3A	9.65077904475515e-05	0.987855922134777
FMR1	0.000233294107499578	1.01768790798564
IGF2BP1	2.38585243075277e-18	2.33621722542491
IGF2BP2	5.26157539403881e-33	0.725440381192224
IGF2BP3	0.0991134721989188	1.13618105582339
BAT2	5.67060579869129e-09	1.01825495398782
ZNF217	9.75915157050984e-15	1.0459490102039
