	METTL3	METTL14	WTAP	KIAA1429	CBLL1	ZC3H13	RBM15	RBM15B	METT10D	METTL5	ZCCHC4	FTO	ALKBH5	YTHDC1	YTHDC2	YTHDF1	YTHDF2	YTHDF3	HNRNPA2B1	HNRNPC	RBMX	EIF3A	FMR1	IGF2BP1	IGF2BP2	IGF2BP3	BAT2	ZNF217
OS.gain.HR	0.91	1.6	1.3	1.3	0.94	1.2	1.2	1.1	1.2	1.4	1.6	1.2	1.5	1.4	1	1.3	1.3	1.3	1.1	0.9	0.6	1	0.62	1.4	1.2	1	1.3	1.1
OS.gain.P	0.7	0.084	0.24	0.1	0.75	0.53	0.43	0.75	0.66	0.16	0.12	0.56	0.19	0.22	0.95	0.15	0.52	0.14	0.77	0.67	0.059	0.94	0.069	0.065	0.42	0.95	0.11	0.41
OS.loss.HR	1.4	1.1	0.81	0.78	1.5	1.3	1.6	1.4	0.98	1.1	1.1	0.94	1.2	1.2	1	1.4	1.4	0.83	0.9	1.5	1	1.4	0.98	1.4	1.6	0.75	1.1	2.4
OS.loss.P	0.047	0.54	0.25	0.74	0.074	0.19	0.012	0.06	0.91	0.72	0.66	0.73	0.24	0.37	0.86	0.4	0.046	0.67	0.71	0.026	0.97	0.035	0.93	0.081	0.12	0.35	0.8	0.024
DFS.gain.HR	0.89	1.4	1.1	1.4	1.2	0.95	1.4	1.4	1.1	0.93	1.5	1.1	0.89	0.96	0.98	1.2	2.8	1.4	1.2	0.87	1.1	1.3	1	1	1.2	1.2	1.1	1.2
DFS.gain.P	0.73	0.3	0.77	0.19	0.47	0.91	0.19	0.37	0.87	0.86	0.38	0.67	0.82	0.9	0.94	0.39	0.0025	0.11	0.43	0.65	0.77	0.54	0.91	0.93	0.45	0.55	0.72	0.33
DFS.loss.HR	1.2	0.94	0.89	3.3	1.2	0.88	1.1	1.5	1.4	0.94	1.3	0.67	1.6	0.95	1.2	2.4	1.5	1.1	1.2	1.2	1.5	1.5	1.4	1.3	1.1	1.4	0.92	4.6
DFS.loss.P	0.41	0.8	0.63	0.016	0.52	0.58	0.79	0.097	0.21	0.83	0.22	0.1	0.068	0.84	0.49	0.028	0.089	0.81	0.57	0.38	0.15	0.082	0.18	0.33	0.92	0.3	0.8	0.00078
PFS.gain.HR	0.96	1.4	1.1	1	1.1	0.97	1.3	1.2	0.78	1.2	1.4	0.92	0.72	1.1	0.79	1.1	2.1	1.2	1.2	0.94	1.1	0.98	1	0.93	1.1	1.1	0.99	1.1
PFS.gain.P	0.87	0.19	0.77	0.8	0.51	0.92	0.31	0.53	0.55	0.52	0.31	0.73	0.39	0.83	0.38	0.48	0.0092	0.4	0.33	0.78	0.61	0.94	0.87	0.74	0.47	0.54	0.97	0.75
PFS.loss.HR	0.99	0.88	0.71	1.7	1.2	0.91	1.2	1.4	1.1	0.91	1.1	0.66	1.2	0.88	1	1.4	1.2	1.2	1.1	1	1.4	1.4	1.4	1.3	1.5	1.1	0.72	2.9
PFS.loss.P	0.96	0.51	0.073	0.28	0.49	0.6	0.45	0.039	0.57	0.69	0.77	0.023	0.23	0.56	0.88	0.41	0.34	0.63	0.79	0.99	0.12	0.088	0.078	0.18	0.14	0.79	0.24	0.0087
