tumorVSnormal_PValue	tumorVSnormal_diff	gene	Group	Island
cg01993413	0.149372864130588	-0.00915305843880927	METTL3	Body	Island
cg02766594	0.00790101822223795	-0.00578803705163579	METTL3	TSS200	Island
cg04811502	0.0262856698433057	-0.0228353194937152	METTL3	TSS1500	Island
cg06778680	0.135275279392744	0.00119957517627995	METTL3	TSS200	Island
cg08233448	0.959694418111529	-0.000532381494620426	METTL3	Body	N_Shore
cg10413281	0.159947022293428	-0.00670314092176535	METTL3;METTL3	1stExon;5'UTR	Island
cg13823621	0.310729409032206	-0.0019850559862189	METTL3	TSS200	Island
cg15471702	0.118040145073196	-0.00223209681893154	METTL3	TSS200	Island
cg16999661	0.488803870313458	-0.000469957955590593	METTL3	TSS200	Island
cg18362770	1.32779135128802e-10	-0.0972225923006175	TOX4;METTL3	3'UTR;Body	
cg24963307	0.813897423034503	-0.000906227828144049	METTL3	TSS200	Island
cg26001467	0.0371845204700632	-0.00880460298690493	METTL3	TSS1500	Island
cg00604539	0.0155612552099463	0.000866994408677622	METTL14	TSS200	Island
cg00985258	0.263286574776654	-0.00145302632155214	METTL14	TSS200	Island
cg01729388	0.114554473120959	-0.000921741193302156	METTL14	TSS200	N_Shore
cg05764960	0.505555628184263	-0.00247526825209121	METTL14	3'UTR	
cg07243656	1.0126942397847e-10	0.0379344063416984	METTL14	TSS1500	N_Shore
cg18258443	0.748835405417232	-0.0133472583541366	METTL14	Body	S_Shore
cg19941439	0.0627824211274225	-0.0016050942349524	METTL14;METTL14	1stExon;5'UTR	Island
cg20805999	0.0884027811907418	0.00966956816887839	METTL14	TSS1500	N_Shore
cg21911849	0.330429399590377	0.000649083928232652	METTL14	1stExon	Island
cg24763126	0.0448052986846861	-0.000999171520752067	METTL14	TSS200	Island
cg25149510	0.00217759387505997	0.0013241543672171	METTL14	TSS200	Island
cg03221100	0.406292069890225	-0.00278351435787377	WTAP;WTAP;WTAP	TSS1500;TSS1500;TSS1500	N_Shore
cg03447742	0.582964909171385	-0.00285110512562221	WTAP;WTAP;WTAP	5'UTR;5'UTR;5'UTR	Island
cg04770781	0.460021122997653	-0.00174320428035439	WTAP;WTAP;WTAP;WTAP;WTAP	5'UTR;1stExon;5'UTR;TSS1500;1stExon	Island
cg09364756	1.46493920760037e-22	0.0587163703119766	WTAP;WTAP;WTAP;WTAP	5'UTR;5'UTR;5'UTR;1stExon	Island
cg10698098	8.03841723212453e-05	0.00243270339712995	WTAP;WTAP;WTAP	5'UTR;5'UTR;TSS1500	Island
cg11785509	0.000199139165897078	0.00115757894275829	WTAP;WTAP;WTAP	5'UTR;5'UTR;5'UTR	Island
cg13623384	0.00319102107347167	0.00738486620242629	WTAP	3'UTR	
cg17212720	0.00209692020816027	0.000794850289785314	WTAP;WTAP;WTAP	TSS200;TSS200;TSS1500	Island
cg17395354	0.00696592603903206	0.00107461203813201	WTAP;WTAP;WTAP	TSS200;TSS200;TSS1500	Island
cg18112708	0.0156098886205374	-0.0275076139797661	WTAP;WTAP;WTAP	Body;3'UTR;3'UTR	
cg20340146	0.0115854354652164	-0.0102527467554259	WTAP	Body	
cg20372956	0.000246332406496218	0.00436658856333657	WTAP;WTAP;WTAP	5'UTR;5'UTR;TSS1500	Island
cg21981379	0.0548445276587442	-0.0017118556475277	WTAP;WTAP;WTAP	TSS1500;TSS1500;TSS1500	Island
cg24665647	0.490665881496621	-0.000378718667425226	WTAP;WTAP;WTAP	Body;Body;Body	
cg24909975	0.000156748940921774	-0.00929936276441991	WTAP;WTAP;WTAP	TSS1500;TSS1500;TSS1500	Island
cg00161683	1.19107984766564e-24	0.105657806683309	KIAA1429;KIAA1429	Body;Body	N_Shelf
cg00242299	0.532814540468372	-0.000342472882815748	KIAA1429;KIAA1429	Body;Body	N_Shore
cg00669777	0.00457409869827625	-1.45732054482525e-05	KIAA1429;KIAA1429	TSS200;TSS200	Island
cg02171725	7.22023870670262e-18	-0.139421482065432	KIAA1429;KIAA1429	Body;Body	N_Shore
cg03769349	0.763423847539806	-0.000240166279799768	KIAA1429;KIAA1429	TSS200;TSS200	Island
cg07158312	0.000347996541769756	0.00762640111534481	KIAA1429;KIAA1429;KIAA1429;KIAA1429	1stExon;5'UTR;5'UTR;1stExon	Island
cg17994390	0.049627292907334	0.00150167082731135	KIAA1429;KIAA1429	TSS1500;TSS1500	Island
cg22736280	0.531507473395737	0.000109345391903656	KIAA1429;KIAA1429	Body;Body	N_Shore
cg22986488	0.985691809172401	0.00054003270120738	KIAA1429;KIAA1429	TSS200;TSS200	Island
cg26464482	0.172825783791222	-0.0107537482299011	KIAA1429;KIAA1429	Body;Body	N_Shore
cg00449210	0.494771664252252	-0.000204606636593177	CBLL1;CBLL1	Body;Body	S_Shore
cg01331191	0.56079683770403	0.00366525569716285	CBLL1;CBLL1	TSS1500;TSS1500	Island
cg02952735	0.0521753370311014	0.000628147126235358	CBLL1;CBLL1	TSS200;TSS200	Island
cg03147542	0.606677874086695	-0.0026780923809106	CBLL1;CBLL1	TSS1500;TSS1500	Island
cg03443922	0.0073745866666091	0.000101982510693648	CBLL1;CBLL1	Body;Body	Island
cg04433990	0.21788847210183	0.000563414794376563	CBLL1;CBLL1;CBLL1	1stExon;Body;5'UTR	Island
cg06724108	0.252995682382945	0.0125247032803399	CBLL1;CBLL1	TSS1500;TSS1500	Island
cg07614064	0.119802508955446	0.0109804800070074	CBLL1;CBLL1	TSS1500;TSS1500	Island
cg10861925	0.314912067491075	-2.61536664767584e-05	CBLL1;CBLL1	TSS200;TSS200	Island
cg15056119	0.187636985155933	-0.000279266850610957	CBLL1;CBLL1	TSS200;TSS200	Island
cg17158101	0.0134958508852312	0.00651879516489284	CBLL1;CBLL1	Body;3'UTR	
cg19318403	2.96538365485941e-21	-0.230980802639455	CBLL1;CBLL1	Body;Body	
cg20263098	0.0789292854989711	0.0002277077037621	CBLL1;CBLL1;CBLL1	1stExon;Body;5'UTR	Island
cg21810311	0.890821123636585	1.16060088466846e-07	CBLL1;CBLL1	Body;Body	Island
cg25183958	0.818448656033426	-0.000168560124965265	CBLL1;CBLL1	TSS200;TSS200	Island
cg26385438	0.383788657205797	5.28292383830415e-05	CBLL1;CBLL1	TSS200;TSS200	Island
cg27396403	5.58860377623798e-15	0.0347202046745202	CBLL1;CBLL1	Body;Body	S_Shelf
cg00452530	8.3446766340684e-07	-0.0149988904947523	ZC3H13	Body	
cg00632861	0.122714383393945	0.00165219711236667	ZC3H13	5'UTR	Island
cg01506766	3.26352945284949e-05	0.00268548737937774	ZC3H13	5'UTR	Island
cg02122052	8.37504412769965e-08	-0.00679038891078698	ZC3H13	Body	
cg04570827	0.668585384907458	0.00324505905195691	ZC3H13	TSS1500	S_Shore
cg05724742	0.0284285388794156	-0.00766856085490297	ZC3H13	Body	
cg06018095	0.000118804545671479	-0.0132534387363307	ZC3H13	Body	
cg06720244	1.82111593522838e-08	-0.0064892918144791	ZC3H13	Body	
cg07376541	0.949045706562852	-0.00979366195127004	ZC3H13	TSS1500	S_Shore
cg08531917	2.87118092000596e-05	-0.00718523774069635	ZC3H13	Body	
cg08608800	0.280061848156422	-0.00189399480284396	ZC3H13	TSS200	Island
cg09598590	0.00279459612640619	-0.00892014846932077	ZC3H13	Body	
cg11075937	0.00589753946607339	0.00393955313216257	ZC3H13	5'UTR	N_Shore
cg12378831	0.8144019560779	-0.00248103840931985	ZC3H13	5'UTR	Island
cg14966220	4.49127637725405e-05	0.00185225915706792	ZC3H13	TSS200	Island
cg16239628	0.000538954486751473	0.00349276485788057	ZC3H13	5'UTR	N_Shore
cg17305638	0.0225300292803132	0.00583751733601944	ZC3H13	TSS1500	S_Shore
cg17598724	0.0530223521964044	-0.00392104848245955	ZC3H13	Body	
cg18355146	0.669535306835145	-0.00478028073402537	ZC3H13	Body	
cg19294256	0.00503271042741153	0.00864196265638909	ZC3H13	TSS200	Island
cg20891306	0.000341558277711534	-0.017811734477875	ZC3H13	Body	
cg21132649	0.41073510787637	-0.00479470941181624	ZC3H13	TSS200	Island
cg22152521	4.2890429656741e-06	-0.00971071256514688	ZC3H13	Body	
cg22415594	0.591724276530207	-0.000295548840129119	ZC3H13;ZC3H13	5'UTR;1stExon	Island
cg23314506	0.840057838238019	-0.00337803690564832	ZC3H13	TSS200	Island
cg23553659	0.681927310031177	-0.00589389699119695	ZC3H13	TSS200	Island
cg26392495	0.00195883864201894	-0.0174712981211405	ZC3H13	3'UTR	
cg02099053	0.0589680168523831	-0.00493280558840276	RBM15	TSS1500	Island
cg04575263	0.000277969231024045	0.00134553716112644	RBM15	1stExon	Island
cg05368942	0.0847474112332101	0.000664629410648453	RBM15;RBM15	5'UTR;1stExon	Island
cg05807672	0.124670017755146	0.000371468196615946	RBM15	TSS1500	Island
cg06799250	0.0404128837987717	-0.00789889195462707	RBM15	1stExon	S_Shore
cg08651517	6.53028432293439e-19	0.107325067519233	RBM15	3'UTR	
cg11854871	0.614905485996279	0.000939322471860904	RBM15	TSS200	Island
cg13356884	0.30346890430771	0.000363926480678487	RBM15	TSS1500	Island
cg14209372	0.00435960731795729	-0.0203118169608322	RBM15	1stExon	S_Shore
cg15059513	0.104373640264253	-0.00653724725908339	RBM15	1stExon	Island
cg15079326	0.00013433154524481	0.00248893925458766	RBM15	1stExon	Island
cg15357661	0.444917014014495	-0.00226982583687366	RBM15	TSS200	Island
cg15881119	0.578944477527933	-0.00260359202324109	RBM15	TSS1500	Island
cg17482391	0.313240542001064	0.00104833282237709	RBM15	TSS1500	Island
cg18022324	0.0426114634534274	0.000626691630534752	RBM15	1stExon	Island
cg18266620	0.00329473023497217	0.000785952349669338	RBM15	1stExon	Island
cg19317012	0.0478277960126057	0.00104769850654754	RBM15	TSS1500	Island
cg20311544	0.000285727931253097	-0.00490037445802128	RBM15	TSS1500	Island
cg24341556	0.191398508374549	-0.000808197929896719	RBM15	TSS200	Island
cg25416363	0.417064643822814	-0.00188976554402241	RBM15	TSS200	Island
cg01439568	0.134602955969914	-0.0508450955488408	RBM15B	1stExon	N_Shore
cg02619135	0.0728796099695488	-0.00239892334194666	RBM15B	TSS1500	Island
cg02625315	0.367840510656758	-0.000744615249857694	RBM15B;RBM15B	1stExon;3'UTR	S_Shore
cg03037622	5.84787352263844e-21	0.0322964554227075	RBM15B	1stExon	Island
cg05072457	0.417256027189708	0.000435165476868213	RBM15B	TSS1500	N_Shore
cg05106206	0.115531577028732	0.00170904027796032	RBM15B	1stExon	Island
cg06216732	0.303023814509606	7.17784201229796e-05	RBM15B	TSS200	Island
cg06364023	0.000576640896222578	0.000829325975561686	RBM15B	TSS200	Island
cg07620844	6.98584392685537e-17	0.0505648681002655	RBM15B	1stExon	N_Shore
cg07867023	0.00652271926102474	0.00162037037037025	RBM15B	TSS200	Island
cg08881614	1.30694076115644e-08	0.0244324318603197	VPRBP;RBM15B;RBM15B	3'UTR;1stExon;3'UTR	S_Shelf
cg10583097	0.764706001391296	-0.00210551248923348	RBM15B	1stExon	Island
cg15035459	4.3907851485267e-06	0.00974966714842551	RBM15B	1stExon	Island
cg15821095	3.21576544877507e-07	0.0649977860990671	RBM15B	TSS1500	N_Shore
cg17384114	0.0105762724981727	0.000641794770726579	RBM15B	TSS1500	Island
cg21090962	0.166639621864584	-0.00410533511438129	RBM15B	TSS1500	Island
cg27215641	8.30670827881898e-09	0.0106982868363036	RBM15B	1stExon	Island
cg00145352	1.44996806137853e-13	0.0186826639804967	LOC284009;METT10D	TSS1500;3'UTR	
cg01386678	1.62427123152338e-36	0.135113407494999	METT10D	Body	
cg02022491	8.89499183481101e-36	0.115849355465043	METT10D	Body	
cg03216991	0.0214548348892398	0.0186602687630483	METT10D	TSS1500	S_Shore
cg05188158	0.000148326229780361	0.00489479481452284	METT10D	TSS200	Island
cg06291314	2.62003963606268e-18	0.0541059088453834	METT10D	Body	
cg09341020	0.0207627201871182	0.0370706696448123	LOC284009;METT10D	TSS1500;3'UTR	
cg11649268	0.239322575039642	-0.00580538621001891	METT10D	3'UTR	
cg15249062	5.39565385989195e-08	0.00819725543438603	METT10D	TSS1500	S_Shore
cg15425530	0.374288017724303	-0.00419158235886655	METT10D	TSS200	Island
cg16613143	0.392433177963312	-0.00558664068088572	METT10D	TSS200	Island
cg18013303	0.7789210231221	-0.00535259784814364	METT10D	TSS200	S_Shore
cg22116821	0.0510327385661459	0.00144732696827697	METT10D	TSS200	Island
cg22846776	3.2429483529135e-05	0.0544575234674952	METT10D	Body	
cg24035107	0.00773517676626261	0.0292384823136091	METT10D	Body	
cg25660188	0.00129319609788636	0.00127023387202733	METT10D	TSS200	Island
cg25821781	6.26202771760134e-15	0.0327679936933386	METT10D	Body	
cg26403608	1.60658828623e-11	0.10834895618914	LOC284009;METT10D	TSS1500;3'UTR	
cg26502414	0.0201419400421932	0.0018580293142965	METT10D	5'UTR	N_Shore
cg26710891	7.8588321035148e-05	0.0316674790872858	METT10D	Body	
cg26988800	0.570722171814781	-0.000407832231127399	METT10D;METT10D	5'UTR;1stExon	Island
cg00551847	0.311361632595684	-0.00378082161783384	METTL5	TSS1500	Island
cg10476473	0.374629433955628	-0.000844355392049582	METTL5	TSS200	Island
cg13465631	0.435072775328052	-0.0105266230163943	METTL5	Body	N_Shore
cg13808420	0.973470185335991	-0.00132299230645697	METTL5;METTL5	5'UTR;1stExon	Island
cg18760220	0.514340957459406	-0.00194357362881216	METTL5	1stExon	N_Shore
cg19197830	0.697054438589163	-0.00029371888640704	METTL5	TSS1500	Island
cg21466874	0.689347932744341	-0.000107146089724001	METTL5	Body	N_Shore
cg23927974	0.0244073686297861	-0.0368928225229571	METTL5	TSS1500	N_Shore
cg24893364	0.824795217774324	-0.00163693411582638	METTL5	TSS200	Island
cg00866373	0.203383223753218	0.000532462517701051	ZCCHC4;ZCCHC4	5'UTR;1stExon	Island
cg01120514	0.017892556772232	0.00121901998569316	ZCCHC4;ZCCHC4	5'UTR;1stExon	Island
cg03806916	0.237087347826364	0.000412570256500159	ZCCHC4	TSS200	Island
cg04796973	0.015545587858844	0.000671471116366663	ZCCHC4	TSS200	Island
cg11306783	0.973470355036372	1.65126498196388e-05	ZCCHC4	Body	S_Shore
cg13499600	1.60067392217988e-21	-0.175606746813822	ZCCHC4	3'UTR	
cg15951897	0.19318178767045	-0.0106886034832619	ZCCHC4	Body	S_Shelf
cg17790400	0.0507043663153079	-0.000645905049708753	ZCCHC4	TSS200	Island
cg19289767	0.139500293244259	0.00128604359187719	ZCCHC4	TSS200	Island
cg26487582	0.00303000103851459	0.0354297369304675	ZCCHC4	Body	
cg27357181	0.0662173357567506	0.00167622082074191	ZCCHC4	TSS200	Island
cg00561634	9.08974653271188e-25	0.132826271186441	FTO	Body	
cg00714672	0.00282470881906709	0.0198458065081242	FTO	Body	
cg00891125	0.168251293303796	0.0129164710433723	FTO;RPGRIP1L;RPGRIP1L	Body;TSS1500;TSS1500	S_Shore
cg01485549	1.00119580019324e-07	0.0507527883618745	FTO	Body	
cg01981760	0.590824839562319	0.00016559292836385	FTO;RPGRIP1L;RPGRIP1L	TSS1500;5'UTR;5'UTR	N_Shore
cg01986630	2.49233548466325e-09	-0.0800274179185091	FTO	Body	
cg02111433	1.11750373449152e-22	0.0864214638169893	FTO	Body	
cg02642561	0.899075314317143	-0.00233288442167034	FTO	Body	
cg02859443	0.461607667645838	-0.00170019781310682	RPGRIP1L;RPGRIP1L;FTO;FTO	TSS200;TSS200;1stExon;5'UTR	Island
cg04036070	9.1138528705188e-09	0.0584466568855027	FTO	Body	
cg05190533	0.0625532360449931	0.00175766215565191	RPGRIP1L;FTO;RPGRIP1L;FTO	TSS1500;1stExon;TSS1500;5'UTR	Island
cg05643120	9.45945899253477e-05	0.0044125541978715	FTO;RPGRIP1L;RPGRIP1L	Body;TSS1500;TSS1500	Island
cg05967340	0.756512588173899	-0.0518384728244208	FTO	3'UTR	
cg06054593	0.0238332049259464	-0.00560162265142557	RPGRIP1L;FTO;RPGRIP1L	TSS200;TSS200;TSS200	Island
cg06348615	0.210095131923516	-0.0055144768536767	RPGRIP1L;FTO;RPGRIP1L	TSS200;TSS200;TSS200	Island
cg06392242	0.180977277364738	-0.0037138629761031	FTO	Body	
cg06434738	2.35415944895345e-11	-0.136160191389655	FTO	Body	
cg06940838	3.01859014251694e-05	0.00674864669557218	FTO	Body	
cg08171876	0.00246741925986968	0.00397218937502737	RPGRIP1L;FTO;RPGRIP1L;FTO	TSS1500;1stExon;TSS1500;5'UTR	Island
cg08467261	5.81883621181467e-05	0.0013094264149841	RPGRIP1L;RPGRIP1L;FTO;FTO	TSS200;TSS200;1stExon;5'UTR	Island
cg09243909	7.21893456447215e-39	0.201664844012321	FTO	Body	
