probes	OS.HR	OS.P	DFS.HR	DFS.P	PFS.HR	PFS.P	gene	group
cg00011247	1.8E-34	0.11	1.2E-67	0.024	4.8E-31	0.12	YTHDF3	TSS200
cg00189220	840	0.0032	2800	0.17	4.5	0.68	YTHDF3	TSS1500
cg00508334	1	0.99	0.21	0.011	0.44	0.083	IGF2BP3	TSS1500
cg01429360	6.3	0.0051	1.7	0.52	2.8	0.1	IGF2BP3	Body
cg01439568	0.71	0.51	0.11	0.00045	0.28	0.0074	RBM15B	1stExon
cg01485549	0.048	0.000015	0.029	0.000038	0.062	0.00003	FTO	Body
cg01804429	0.42	0.16	0.15	0.021	0.29	0.044	YTHDC1	TSS1500
cg01885832	1.2	0.82	0.12	0.027	0.27	0.081	IGF2BP1	Body
cg01970791	11	0.012	0.22	0.44	3.7	0.22	IGF2BP2	TSS1500
cg01981760	0.0000043	0.016	0.029	0.55	0.0027	0.19	FTO	TSS1500
cg02315870	1.7	0.44	0.15	0.025	0.33	0.088	HNRNPA2B1	Body
cg02921434	0.12	0.022	0.095	0.034	0.23	0.11	FMR1	TSS200
cg03171361	3.1	0.044	0.82	0.79	1.3	0.62	IGF2BP1	Body
cg03240301	0.059	0.015	0.11	0.13	0.15	0.076	IGF2BP3	Body
cg03513471	0.059	0.015	0.071	0.072	0.18	0.14	FMR1	TSS200
cg03711622	240000	0.061	31000	0.21	940000	0.019	HNRNPA2B1	TSS1500
cg04094193	0.26	0.0074	0.13	0.0012	0.26	0.0048	YTHDC1	TSS1500
cg04419618	0.037	0.00022	0.1	0.047	0.24	0.13	RBMX	TSS200
cg04552106	0.13	0.038	0.089	0.039	0.28	0.18	FMR1	TSS200
cg04630448	0.19	0.04	1.6	0.62	0.59	0.47	IGF2BP3	Body
cg05852760	2.9	0.035	0.87	0.83	0.77	0.62	IGF2BP3	Body
cg06291314	0.23	0.067	0.27	0.24	0.23	0.049	METT10D	Body
cg06392242	0.23	0.72	0.00017	0.011	0.0018	0.083	FTO	Body
cg06434738	0.2	0.021	0.29	0.15	0.28	0.051	FTO	Body
cg06632790	1.3	0.67	0.27	0.042	0.37	0.063	IGF2BP3	Body
cg06638433	0.89	0.82	0.31	0.065	0.36	0.039	IGF2BP1	1stExon
cg07060794	0.22	0.034	0.18	0.071	0.22	0.031	IGF2BP3	Body
cg07297397	1	0.95	0.23	0.014	0.56	0.16	IGF2BP3	TSS200
cg07867023	0.000039	0.71	0.000002	0.68	130000000	0.01	RBM15B	TSS200
cg08531917	0.000016	0.033	24	0.74	5.5	0.81	ZC3H13	Body
cg08939418	1.1	0.82	0.21	0.033	0.36	0.07	IGF2BP3	TSS1500
cg10201192	0.00036	0.028	0.00013	0.021	0.0061	0.18	YTHDF1	Body
cg10698098	1.5E-22	0.037	4.3E-11	0.36	1.6E-09	0.3	WTAP	5'UTR
cg10950924	3.7	0.029	0.64	0.58	1.2	0.75	IGF2BP1	Body
cg11223711	1600	0.46	2900000000	0.051	68000000	0.046	EIF3A	TSS1500
cg12074728	450	0.27	5.7E-35	0.0042	1.6E-11	0.081	IGF2BP2	Body
cg12589387	0.01	0.0019	0.16	0.22	0.13	0.089	YTHDF1	TSS1500
cg13151498	7.3	0.046	0.075	0.5	0.71	0.85	IGF2BP2	Body
cg13244211	0.19	0.03	0.23	0.15	0.18	0.025	EIF3A	Body
cg13356884	520000	0.046	4E-10	0.42	0.0069	0.73	RBM15	TSS1500
